,Unnamed: 0,List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,Unnamed: 10,Unnamed: 11,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),"2024
Team","2024
IPL",C/U/A,"Reserve Price Rs
Lakh",Player Name
0,0,1,1,M1,Jos,Buttler,England,,08/09/1990,34,WICKETKEEPER,RHB,RIGHT ARM Off Spin,57.0,181.0,124.0,107.0,"MI,RR",RR,11.0,Capped,200,Jos Buttler
1,1,2,1,M1,Shreyas,Iyer,India,MCA,06/12/1994,30,BATTER,RHB,RIGHT ARM Off Spin,14.0,62.0,51.0,116.0,"DC,KKR",KKR,15.0,Capped,200,Shreyas Iyer
2,2,3,1,M1,Rishabh,Pant,India,DDCA,04/10/1997,27,BATTER,LHB,RIGHT ARM Off Spin,37.0,31.0,76.0,111.0,DC,DC,13.0,Capped,200,Rishabh Pant
3,3,4,1,M1,Kagiso,Rabada,South Africa,,25/05/1995,29,BOWLER,RHB,RIGHT ARM Fast,66.0,101.0,65.0,80.0,"DC,PBKS",PBKS,11.0,Capped,200,Kagiso Rabada
4,4,5,1,M1,Arshdeep,Singh,India,PCA,05/02/1999,26,BOWLER,LHB,LEFT ARM Fast Medium,,8.0,56.0,65.0,PBKS,PBKS,14.0,Capped,200,Arshdeep Singh
5,5,6,1,M1,Mitchell,Starc,Australia,,30/01/1990,35,BOWLER,LHB,LEFT ARM Fast,89.0,125.0,65.0,41.0,RCB.KKR,KKR,14.0,Capped,200,Mitchell Starc
6,6,7,2,M2,Yuzvendra,Chahal,India,HCA,23/07/1990,34,BOWLER,RHB,RIGHT ARM Leg Spin,,72.0,80.0,160.0,"MI,RCB,RR",RR,15.0,Capped,200,Yuzvendra Chahal
7,7,8,2,M2,Liam,Livingstone,England,,04/08/1993,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1.0,31.0,50.0,39.0,"RR,PBKS",PBKS,7.0,Capped,200,Liam Livingstone
8,8,9,2,M2,David,Miller,South Africa,,10/06/1989,35,BATTER,LHB,,,173.0,125.0,130.0,"PBKS,RR,GT",GT,9.0,Capped,150,David Miller
9,9,10,2,M2,KL,Rahul,India,KSCA,18/04/1992,32,WICKETKEEPER,RHB,,53.0,77.0,72.0,132.0,"SRH,RCB,PBKS,LSG",LSG,14.0,Capped,200,KL Rahul
10,10,11,2,M2,Mohammad,Shami,India,CAB,03/09/1990,34,BOWLER,RHB,RIGHT ARM Fast,64.0,101.0,23.0,110.0,"KKR,PBKS,GT",GT,0.0,Capped,200,Mohammad Shami
11,11,12,2,M2,Mohammad,Siraj,India,HYCA,13/03/1994,31,BOWLER,RHB,RIGHT ARM Fast,30.0,44.0,16.0,93.0,"SRH,RCB",RCB,14.0,Capped,200,Mohammad Siraj
12,12,13,3,BA1,Harry,Brook,England,,22/02/1999,26,BATTER,RHB,RIGHT ARM Medium,21.0,20.0,39.0,11.0,"SRH,DC",DC,0.0,Capped,200,Harry Brook
13,13,14,3,BA1,Devon,Conway,New Zealand,,08/07/1991,33,BATTER,LHB,,24.0,32.0,50.0,23.0,CSK,CSK,0.0,Capped,200,Devon Conway
14,14,15,3,BA1,Jake,Fraser-Mcgurk,Australia,,11/04/2002,22,BATTER,RHB,,,2.0,4.0,9.0,DC,DC,9.0,Capped,200,Jake Fraser-Mcgurk
15,15,16,3,BA1,Aiden,Markram,South Africa,,04/10/1994,30,BATTER,RHB,RIGHT ARM Off Spin,41.0,71.0,53.0,44.0,"PBKS,SRH",SRH,11.0,Capped,200,Aiden Markram
16,16,17,3,BA1,Devdutt,Padikkal,India,KSCA,07/07/2000,24,BATTER,LHB,,1.0,,2.0,64.0,"RCB,RR,LSG",LSG,7.0,Capped,200,Devdutt Padikkal
17,17,18,3,BA1,Rahul,Tripathi,India,MACA,02/03/1991,34,BATTER,RHB,RIGHT ARM Medium,,,5.0,95.0,"RPS,RR,KKR,SRH",SRH,6.0,Capped,75,Rahul Tripathi
18,18,19,3,BA1,David,Warner,Australia,,27/10/1986,38,BATTER,LHB,,112.0,161.0,110.0,184.0,"SRH,DC",DC,8.0,Capped,200,David Warner
19,19,20,4,AL1,Ravichandaran,Ashwin,India,TNCA,17/09/1986,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,104.0,116.0,65.0,212.0,"CSK,RPS,PBKS,DC,RR",RR,15.0,Capped,200,Ravichandaran Ashwin
20,20,21,4,AL1,Venkatesh,Iyer,India,MPCA,25/12/1994,30,ALL-ROUNDER,LHB,RIGHT ARM Medium,,2.0,9.0,51.0,KKR,KKR,15.0,Capped,200,Venkatesh Iyer
21,21,22,4,AL1,Mitchell,Marsh,Australia,,20/10/1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,42.0,93.0,65.0,42.0,"DCH,PWI,RPS,SRH,DC",DC,4.0,Capped,200,Mitchell Marsh
22,22,23,4,AL1,Glenn,Maxwell,Australia,,14/10/1988,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,7.0,142.0,113.0,134.0,"DC,MI,PBKS,RCB",RCB,10.0,Capped,200,Glenn Maxwell
23,23,24,4,AL1,Harshal,Patel,India,HCA,23/11/1990,34,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,25.0,106.0,"DC,RCB,PBKS",PBKS,14.0,Capped,200,Harshal Patel
24,24,25,4,AL1,Rachin,Ravindra,New Zealand,,18/11/1999,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,11.0,25.0,23.0,10.0,CSK,CSK,10.0,Capped,150,Rachin Ravindra
25,25,26,4,AL1,Marcus,Stoinis,Australia,,16/08/1989,35,ALL-ROUNDER,RHB,RIGHT ARM Fast,,70.0,71.0,96.0,"PBKS,RCB,DC,LSG",LSG,14.0,Capped,200,Marcus Stoinis
26,26,27,5,WK1,Jonny,Bairstow,England,,26/09/1989,35,WICKETKEEPER,RHB,RIGHT ARM Medium,100.0,107.0,80.0,50.0,"SRH,PBKS",PBKS,11.0,Capped,200,Jonny Bairstow
27,27,28,5,WK1,Quinton,De Kock,South Africa,,17/12/1992,32,WICKETKEEPER,LHB,,54.0,155.0,92.0,107.0,"SRH,DC,RCB,MI,LSG",LSG,11.0,Capped,200,Quinton De Kock
