Player Name,Role,Points
Virat Kohli,Batter/Opener,91
Faf du Plessis,Batter/Opener,88
Rohit Sharma,Batter/Opener,88
Travis Head,Batter/Opener,88
Shubman Gill,Batter/Opener,87
Ruturaj Gaikwad,Batter/Opener,87
Abishek Sharma,Batter/Opener,85
Yashasvi Jaiswal,Batter/Opener,85
Devan Conway,Batter/Opener,85
David Warner,Batter/Opener,84
Jonny Bairstow,Batter/Opener,84
Jason Roy,Batter/Opener,82
Rahul Tripathi,Batter/Opener,82
Rachin Ravindra,Batter/Opener,82
Fraser mcgurk,Batter/Opener,82
Ajinkya Rahane,Batter/Opener,81
Shikhar Dhawan,Batter/Opener,80
Devdutt Padikkal,Batter/Opener,79
Prithvi Shaw,Batter/Opener,79
Mayank Agarwal,Batter/Opener,78
Will jacks,Batter/Opener,84
Suryakumar Yadav,Batter/Middle Order,90
Shreyas Iyer,Batter/Middle Order,85
Tilak Varma,Batter/Middle Order,84
Nicholas Pooran,Batter/Middle Order,84
Sai Sudharsan,Batter/Middle Order,83
Markaram,Batter/Middle Order,83
Hary Brook,Batter/Middle Order,82
Rajat Patidar,Batter/Middle Order,82
Nitish Rana,Batter/Middle Order,81
Abishek Porel,Batter/Middle Order,81
Shimron Hetmyer,Batter/Middle Order,80
Manish Pandey,Batter/Middle Order,80
Raguvanshi,Batter/Middle Order,80
Mitchell,Batter/Middle Order,80
Karun Nair,Batter/Middle Order,79
Rilee Roussow,Batter/Middle Order,80
Hope,Batter/Middle Order,78
Rizwi,Batter/Middle Order,78
Dewald Brevis,Batter/Middle Order,78
Anuj Rawat,Batter/Middle Order,76
Abhinav Manohar,Batter/Middle Order,75
Kane Williamson,Batter/Middle Order,82
Rinku Singh,Batter/Finisher,84
David Miller,Batter/Finisher,83
Tim David,Batter/Finisher,82
Shashank,Batter/Finisher,81
Nehal Wadheera,Batter/Finisher,79
Ashutosh sharma,Batter/Finisher,80
Sarfaraz Khan,Batter/Finisher,78
Romario Sheperd,Batter/Finisher,80
MS Dhoni,Wicketkeeper/Finisher,90
KS Bharat,Wicketkeeper/Finisher,78
Tristan Stubbs,Wicketkeeper/Finisher,84
DK,Wicketkeeper/Finisher,84
Dhruv Jurel,Wicketkeeper/Finisher,82
Jitesh Sharma,Wicketkeeper/Finisher,81
Matthew Wade,Wicketkeeper/Finisher,77
Heinrich Klaasen,Wicketkeeper/Middle Order,89
Rishabh Pant,Wicketkeeper/Middle Order,88
N Jagadeesan,Wicketkeeper/Middle Order,75
Sanju Samson,Wicketkeeper/Opener,88
Jos Buttler,Wicketkeeper/Opener,87
K.L Rahul,Wicketkeeper/Opener,87
Quinton de Kock,Wicketkeeper/Opener,86
Salt,Wicketkeeper/Opener,85
Ishan Kishan,Wicketkeeper/Opener,83
Rahmanullah Gurbaz,Wicketkeeper/Opener,81
Prabhsimran Singh,Wicketkeeper/Opener,81
Wriddhiman Saha,Wicketkeeper/Opener,79
Jasprit Bumrah,Bowler/pace bowler,92
Mitchell Starc,Bowler/pace bowler,88
