Franchise,Player Name,Bid Amount,Role, Points,Points
Gujarat Titans,Rachin Ravindra,700,Batter/Opener,,82
Rajasthan Royals,David Warner,900,Batter/Opener,,84
Punjab Kings,Virat Kohli,2200,Batter/Opener,,91
Gujarat Titans,Ajinkya Rahane,500,Batter/Opener,,81
Kolkata Knight Riders,Yashasvi Jaiswal,1200,Batter/Opener,,85
Sunrisers Hyderabad,Abishek Sharma,1350,Batter/Opener,,85
Sunrisers Hyderabad,Mayank Agarwal,360,Batter/Opener,,78
Chennai Super Kings,Fraser mcgurk,600,Batter/Opener,,82
Sunrisers Hyderabad,Will jacks,1100,Batter/Opener,,84
Rajasthan Royals,Prithvi Shaw,320,Batter/Opener,,79
Mumbai Indians,Shubman Gill,1500,Batter/Opener,,87
Royal Challengers Bangalore,Ruturaj Gaikwad,1600,Batter/Opener,,87
Gujarat Titans,Abishek Porel,500,Batter/Middle Order,,81
Chennai Super Kings,Hary Brook,460,Batter/Middle Order,,82
Mumbai Indians,Suryakumar Yadav,2050,Batter/Middle Order,,90
Royal Challengers Bangalore,Nicholas Pooran,900,Batter/Middle Order,,84
Rajasthan Royals,Abhinav Manohar,300,Batter/Middle Order,,75
Punjab Kings,Nitish Rana,500,Batter/Middle Order,,81
Gujarat Titans,Sai Sudharsan,750,Batter/Middle Order,,83
Chennai Super Kings,Karun Nair,300,Batter/Middle Order,,79
Rajasthan Royals,Shreyas Iyer,1450,Batter/Middle Order,,85
Kolkata Knight Riders,Tilak Varma,1050,Batter/Middle Order,,84
Rajasthan Royals,Shashank,550,Batter/Finisher,,81
Chennai Super Kings,Rinku Singh,950,Batter/Finisher,,84
Gujarat Titans,Tim David,500,Batter/Finisher,,82
Rajasthan Royals,Tristan Stubbs,800,Wicketkeeper/Finisher,,84
Delhi Capitals,K.L Rahul,1550,Wicketkeeper/Opener,,87
Delhi Capitals,Rishabh Pant,1500,Wicketkeeper/Middle Order,,88
Punjab Kings,Prabhsimran Singh,440,Wicketkeeper/Opener,,81
Sunrisers Hyderabad,MS Dhoni,1850,Wicketkeeper/Finisher,,90
Punjab Kings,Salt,800,Wicketkeeper/Opener,,85
Punjab Kings,Jitesh Sharma,400,Wicketkeeper/Finisher,,81
Sunrisers Hyderabad,Heinrich Klaasen,1500,Wicketkeeper/Middle Order,,89
Chennai Super Kings,Ishan Kishan,650,Wicketkeeper/Opener,,83
Delhi Capitals,KS Bharat,220,Wicketkeeper/Finisher,,78
